season,number,position,driverId,constructorId,Q1,Q2,Q3
2016,20,15,kevin_magnussen,renault,1:27.297,1:27.742,
2016,9,16,ericsson,sauber,1:27.435,,
2016,12,17,nasr,sauber,1:27.958,,
2016,26,18,kvyat,red_bull,1:28.006,,
2016,8,19,grosjean,haas,1:28.322,,
2016,21,20,gutierrez,haas,1:29.606,,
2016,88,21,haryanto,manor,1:29.627,,
2016,94,22,wehrlein,manor,1:29.642,,
2016,44,1,hamilton,mercedes,1:31.391,1:30.039,1:29.493
2016,6,2,rosberg,mercedes,1:31.325,1:30.535,1:29.570
2016,5,3,vettel,ferrari,1:31.636,1:30.409,1:30.012
2016,7,4,raikkonen,ferrari,1:31.685,1:30.559,1:30.244
2016,3,5,ricciardo,red_bull,1:31.403,1:31.122,1:30.854
2016,77,6,bottas,williams,1:31.672,1:30.931,1:31.153
2016,19,7,massa,williams,1:32.045,1:31.374,1:31.155
2016,27,8,hulkenberg,force_india,1:31.987,1:31.604,1:31.620
2017,44,1,hamilton,mercedes,1:24.191,1:23.251,1:22.188
2017,5,2,vettel,ferrari,1:25.210,1:23.401,1:22.456
2017,77,3,bottas,mercedes,1:24.514,1:23.215,1:22.481
2017,7,4,raikkonen,ferrari,1:24.352,1:23.376,1:23.033
2017,33,5,max_verstappen,red_bull,1:24.482,1:24.092,1:23.485
2017,8,6,grosjean,haas,1:25.419,1:24.718,1:24.074
2017,19,7,massa,williams,1:25.099,1:24.597,1:24.443
2017,55,8,sainz,toro_rosso,1:25.542,1:24.997,1:24.487
2017,26,9,kvyat,toro_rosso,1:25.970,1:24.864,1:24.512
2017,3,10,ricciardo,red_bull,1:25.383,1:23.989,
2017,11,11,perez,force_india,1:25.064,1:25.081,
2017,27,12,hulkenberg,renault,1:24.975,1:25.091,
2017,14,13,alonso,mclaren,1:25.872,1:25.425,
2017,31,14,ocon,force_india,1:26.009,1:25.568,
2017,9,15,ericsson,sauber,1:26.236,1:26.465,
2017,36,16,giovinazzi,sauber,1:26.419,,
2017,20,17,kevin_magnussen,haas,1:26.847,,
2017,2,18,vandoorne,mclaren,1:26.858,,
2017,18,19,stroll,williams,1:27.143,,
2017,30,20,jolyon_palmer,renault,1:28.244,,
2017,44,1,hamilton,mercedes,1:33.333,1:32.406,1:31.678
2017,5,2,vettel,ferrari,1:33.078,1:32.391,1:31.864
2017,77,3,bottas,mercedes,1:33.684,1:32.552,1:31.865
2017,7,4,raikkonen,ferrari,1:33.341,1:32.181,1:32.140
2017,3,5,ricciardo,red_bull,1:34.041,1:33.546,1:33.033
2017,19,6,massa,williams,1:34.205,1:33.759,1:33.507
2017,27,7,hulkenberg,renault,1:34.453,1:33.636,1:33.580
2017,11,8,perez,force_india,1:34.657,1:33.920,1:33.706
2017,26,9,kvyat,toro_rosso,1:34.440,1:34.034,1:33.719
2017,18,10,stroll,williams,1:33.986,1:34.090,1:34.220
2018,44,1,hamilton,mercedes,1:22.824,1:22.051,1:21.164
